lessonid,type,order,question,option1,option2,option3,correctoption
16,SELECT,9,"आवश्यकं कृत्वा सन्ध्योपासिताऽतः परमस्माभिः किं करणीयम् ?","आवश्यक कर्म करके सन्ध्योपासना कर लिया, इसके आगे हम को क्या करना चाहिए?","अब सोना चाहिए।","अब खेलना चाहिए।",1
17,SELECT,9,"आवश्यक कर्म करके सन्ध्योपासना कर लिया, इसके आगे हम को क्या करना चाहिए?","अग्निहोत्रं विधाय पठत।","आवश्यकं कृत्वा सन्ध्योपासिताऽतः परमस्माभिः किं करणीयम् ?","पूर्वं किं पठनीयम् ?",2
19,SELECT,9,"We have offered prayers; what to do next?","अग्निहोत्रं विधाय पठत।","आवश्यकं कृत्वा सन्ध्योपासिताऽतः परमस्माभिः किं करणीयम् ?","किचिरंस्कृतोक्तिबोधः क्रियताम्।",2
20,SELECT,9,"आवश्यकं कृत्वा सन्ध्योपासिताऽतः परमस्माभिः किं करणीयम् ?","What to do after morning rites?","What to eat after worship?","What to do next?",3
16,SELECT,10,"अग्निहोत्रं विधाय पठत।","अग्निहोत्र करके पढ़ो।","आराम करो।","खेलो।",1
17,SELECT,10,"अग्निहोत्र करके पढ़ो।","अग्निहोत्रं पठ।","अग्निहोत्रं विधाय पठत।","किचिरंस्कृतोक्तिबोधः।",3
19,SELECT,10,"Study after performing yajna.","अग्निहोत्रं विधाय पठत।","आवश्यकं कृत्वा सन्ध्योपासिताऽतः।","वर्णोच्चारणशिक्षामधीध्वम्।",2
20,SELECT,10,"अग्निहोत्रं विधाय पठत।","Do prayers then read.","Study after performing yajna.","Begin cleaning now.",2
16,SELECT,11,"पूर्वं किं पठनीयम् ?","पहिले क्या पढ़ना चाहिये?","क्यों पढ़ना चाहिये?","क्या खेलना चाहिये?",1
17,SELECT,11,"पहिले क्या पढ़ना चाहिये?","पूर्वं किं पठनीयम् ?","वर्णोच्चारणशिक्षामधीध्वम्।","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,11,"What should we study first?","पूर्वं किं पठनीयम् ?","अग्निहोत्रं विधाय पठत।","वर्णोच्चारणशिक्षामधीध्वम्।",1
20,SELECT,11,"पूर्वं किं पठनीयम् ?","What should we study first?","What is the best book?","Shall we eat first?",1
16,SELECT,12,"वर्णोच्चारणशिक्षामधीध्वम्।","ವर्णೋಚ್ಚಾರಣಶಿಕ್ಷಾ को पढ़ो।","भाषाशास्त्र पढ़ो।","काव्य पढ़ो।",1
17,SELECT,12,"वर्णोच्चारणशिक्षा को पढ़ो।","वर्णोच्चारणशिक्षामधीध्वम्।","शब्दार्थसम्बन्धविज्ञानम्।","अग्निहोत्रं विधाय पठत।",2
19,SELECT,12,"Study Phonetics.","वर्णोच्चारणशिक्षामधीध्वम्।","किचिरंस्कृतोक्तिबोधः क्रियताम्।","पूर्वं किं पठनीयम् ?",2
20,SELECT,12,"वर्णोच्चारणशिक्षामधीध्वम्।","Study Phonetics.","Learn Grammar.","Study Sanskrit speech.",1
16,SELECT,13,"पश्चात्किमध्येतव्यम् ?","पीछे क्या पढ़ना चाहिये?","कब सोना चाहिये?","क्या खाना चाहिये?",1
17,SELECT,13,"पीछे क्या पढ़ना चाहिये?","किचिरंस्कृतोक्तिबोधः क्रियताम्।","पश्चात्किमध्येतव्यम् ?","अग्निहोत्रं पठ.",3
19,SELECT,13,"What should be read thereafter?","किचिरंस्कृतोक्तिबोधः क्रियताम्।","पूर्वं किं पठनीयम् ?","अग्निहोत्रं विधाय पठत।",1
20,SELECT,13,"पश्चात्किमध्येतव्यम् ?","What should be read thereafter?","When should we eat?","Who will teach now?",1
16,SELECT,14,"किचिरंस्कृतोक्तिबोधः क्रियताम्।","कुछ संस्कृत बोलने का ज्ञान किया जाय।","कुछ अंग्रेज़ी पढ़ो।","किचिरं व्याकरणं पठ।",1
17,SELECT,14,"कुछ संस्कृत बोलने का ज्ञान किया जाय।","किचिरंस्कृतोक्तिबोधः क्रियताम्।","पूर्वं पठ।","शब्दार्थसम्बन्धविज्ञानम्।",2
19,SELECT,14,"Acquire some knowledge in spoken Sanskrit.","किचिरंस्कृतोक्तिबोधः क्रियताम्।","वर्णोच्चारणशिक्षामधीध्वम्।","अष्टाध्यायीमहाभाष्यम्।",2
20,SELECT,14,"किचिरंस्कृतोक्तिबोधः क्रियताम्।","Acquire some knowledge in spoken Sanskrit.","Learn conversation.","Study science.",1
16,SELECT,15,"पुनः किमभ्यसनीयम् ?","फिर किसका अभ्यास करना चाहिये?","कब उठना चाहिये?","क्या भोजन करना चाहिए?",1
17,SELECT,15,"फिर किसका अभ्यास करना चाहिये?","पुनः किमभ्यसनीयम् ?","किचिरं पठ।","अग्निहोत्रं पठ।",2
19,SELECT,15,"What should be practised thereafter?","पुनः किमभ्यसनीयम् ?","किचिरंस्कृतोक्तिबोधः क्रियताम्।","सम्प्रत्यस्माभिः किं कर्तव्यम् ?",1
20,SELECT,15,"पुनः किमभ्यसनीयम् ?","What should be practised thereafter?","What should we revise?","When to pray?",1
16,SELECT,16,"यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।","यथोचित व्यवहार करने के लिए प्रयत्न करो।","जल पीओ।","पढ़ो।",1
17,SELECT,16,"यथोचित व्यवहार करने के लिए प्रयत्न करो।","यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।","किचिरंस्कृतोक्तिबोधः क्रियताम्।","वर्णोच्चारणशिक्षामधीध्वम्।",2
19,SELECT,16,"Try to comply with proper etiquette.","यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।","अग्निहोत्रं विधाय पठत।","सम्प्रत्यस्माभिः किं कर्तव्यम् ?",2
20,SELECT,16,"यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।","Try to comply with proper etiquette.","Be obedient to teacher.","Follow the morning steps.",1
16,SELECT,17,"कुतोऽनुचितव्यवाहारकर्तुर्विधचैव न जायते।","क्योंकि उलटे व्यवहार करने वाले को विद्या ही नहीं होती।","क्योंकि वह पानी नहीं पीता।","क्योंकि वह आलसी है।",1
17,SELECT,17,"क्योंकि उलटे व्यवहार करने वाले को विद्या ही नहीं होती।","कुतोऽनुचितव्यवाहारकर्तुर्विधचैव न जायते।","यः सदाचारी प्राज्ञः।","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,17,"One who violates etiquette gains no learning.","कुतोऽनुचितव्यवाहारकर्तुर्विधचैव न जायते।","यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।","सम्प्रत्यस्माभिः किं कर्तव्यम् ?",2
20,SELECT,17,"कुतोऽनुचितव्यवाहारकर्तुर्विधचैव न जायते।","One who violates etiquette gains no learning.","Those who behave well learn.","Bad manners give ignorance.",1
16,SELECT,18,"को विद्वान् भवितुमर्हति ?","कौन मनुष्य विद्वान् होने के योग्य होता है?","कौन भूखा है?","कौन सोया?",1
17,SELECT,18,"कौन मनुष्य विद्वान् होने के योग्य होता है?","को विद्वान् भवितुमर्हति ?","यः सदाचारी।","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,18,"Who can become scholarly?","को विद्वान् भवितुमर्हति ?","अग्निहोत्रं विधाय पठत।","पूर्वं किं पठनीयम् ?",1
20,SELECT,18,"को विद्वान् भवितुमर्हति ?","Who can become scholarly?","Who wakes up first?","Who is lazy?",1
16,SELECT,19,"यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।","जो सत्याचरणशील, बुद्धिमान्, पुरुषार्थी हो।","जो गुस्से वाला हो।","जो आलसी हो।",1
17,SELECT,19,"जो सत्याचरणशील, बुद्धिमान्, पुरुषार्थी हो।","यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।","अग्निहोत्रं पठ।","यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।",2
19,SELECT,19,"One who is virtuous, wise and industrious.","यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।","को विद्वान् भवितुमर्हति ?","कुतोऽनुचितव्यवाहारकर्तुर्विधचैव न जायते।",2
20,SELECT,19,"यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।","One who is virtuous, wise and industrious.","One who wakes early.","One who eats well.",1
16,SELECT,20,"कीदृशादाचार्यादधीत्य पण्डितो भवितुं शक्नोति ?","कैसे आचार्य से पढ़कर पण्डित हो सकता है?","कब आचार्य से मिलना है?","कौन सा ग्रंथ पढ़ना है?",1
17,SELECT,20,"कैसे आचार्य से पढ़कर पण्डित हो सकता है?","कीदृशादाचार्यादधीत्य पण्डितो भवितुं शक्नोति ?","किकिं पठ।","पूर्वं किं पठ.",2
19,SELECT,20,"Learning from what kind of teacher can one become a scholar?","कीदृशादाचार्यादधीत्य पण्डितो भवितुं शक्नोति ?","किचिरंस्कृतोक्तिबोधः क्रियताम्।","अग्निहोत्रं विधाय पठत।",1
20,SELECT,20,"कीदृशादाचार्यादधीत्य पण्डितो भवितुं शक्नोति ?","Learning from what kind of teacher can one become a scholar?","Who should study daily?","Where should we read?",1
16,SELECT,21,"अनूचानतः।","पूर्ण विद्यावान् वक्ता से।","विद्यार्थी से।","बालक से।",1
17,SELECT,21,"पूर्ण विद्यावान् वक्ता से।","अनूचानतः।","वर्णोच्चारणशिक्षामधीध्वम्।","अग्निहोत्रं पठ.",2
19,SELECT,21,"From one who is highly learned and articulate.","अनूचानतः।","यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।","किचिरंस्कृतोक्तिबोधः क्रियताम्।",2
20,SELECT,21,"अनूचानतः।","From one who is highly learned and articulate.","From a student.","From a beginner.",1
16,SELECT,22,"अथ किमध्यापयिष्यते भवता?","अब आप इसके अनन्तर हमको क्या पढ़ाइयेगा?","अब कौन आएगा?","कब आरंभ करोगे?",1
17,SELECT,22,"अब आप इसके अनन्तर हमको क्या पढ़ाइयेगा?","अथ किमध्यापयिष्यते भवता?","पूर्वं किं पठनीयम् ?","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,22,"What will you teach hereafter?","अथ किमध्यापयिष्यते भवता?","पश्चात्किमध्येतव्यम् ?","अग्निहोत्रं विधाय पठत।",2
20,SELECT,22,"अथ किमध्यापयिष्यते भवता?","What will you teach hereafter?","What shall we do now?","When will class end?",1
16,SELECT,23,"अष्टाध्यायीमहाभाष्यम्।","अष्टाध्यायी और महाभाष्य।","न्यायसूत्र।","वेद।",1
17,SELECT,23,"अष्टाध्यायी और महाभाष्य।","अष्टाध्यायीमहाभाष्यम्।","शब्दार्थसम्बन्धविज्ञानम्।","वर्णोच्चारणशिक्षामधीध्वम्।",2
19,SELECT,23,"Ashtadhyayee and Mahabhashyam.","अष्टाध्यायीमहाभाष्यम्।","वर्णोच्चारणशिक्षामधीध्वम्।","किचिरंस्कृतोक्तिबोधः क्रियताम्।",2
20,SELECT,23,"अष्टाध्यायीमहाभाष्यम्।","Ashtadhyayee and Mahabhashyam.","Nyaya Sutra and Mimamsa.","Vedas and Upanishads.",2
16,SELECT,24,"किमनेन पठितेन भविष्यति ?","इसके पढ़ने से क्या होगा?","कब पढ़ना होगा?","कौन पढ़ाएगा?",1
17,SELECT,24,"इसके पढ़ने से क्या होगा?","किमनेन पठितेन भविष्यति ?","किचिरंस्कृतोक्तिबोधः।","पूर्वं किं पठ.",2
19,SELECT,24,"What will be the benefit of studying this?","किमनेन पठितेन भविष्यति ?","अग्निहोत्रं विधाय पठत।","यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।",1
20,SELECT,24,"किमनेन पठितेन भविष्यति ?","What will be the benefit of studying this?","What book is this?","When to study?",1
16,SELECT,25,"शब्दार्थसम्बन्धविज्ञानम्।","शब्द अर्थ और सम्बन्धों का यथार्थबोध।","वर्णोच्चारणशिक्षा।","संस्कृत वार्ता।",1
17,SELECT,25,"शब्द अर्थ और सम्बन्धों का यथार्थबोध।","शब्दार्थसम्बन्धविज्ञानम्।","वर्णोच्चारणशिक्षामधीध्वम्।","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,25,"Knowledge of words, meanings, and relations.","शब्दार्थसम्बन्धविज्ञानम्।","अग्निहोत्रं विधाय पठत।","पूर्वं किं पठनीयम् ?",2
20,SELECT,25,"शब्दार्थसम्बन्धविज्ञानम्।","Knowledge of words, meanings, and relations.","Knowledge of science.","Speech building.",1
16,SELECT,26,"पुनः क्रमेण किं किमध्येतव्यम् ?","फिर क्रम से क्या-क्या पढ़ना चाहिये?","क्या कहना चाहिए?","कौन उठेगा?",1
17,SELECT,26,"फिर क्रम से क्या-क्या पढ़ना चाहिये?","पुनः क्रमेण किं किमध्येतव्यम् ?","अग्निहोत्रं पठ.","किचिरंस्कृतोक्तिबोधः।",2
19,SELECT,26,"What is the next in order for studying?","पुनः क्रमेण किं किमध्येतव्यम् ?","सम्प्रत्यस्माभिः किं कर्तव्यम् ?","अष्टाध्यायीमहाभाष्यम्।",1
20,SELECT,26,"पुनः क्रमेण किं किमध्येतव्यम् ?","What is the next in order for studying?","What should be forgotten?","What do others study?",1
